name,area_hint,categories,recommendations,accounts,naver_search,kakao_search
월 29일 (월) *개별 DM 안내,,카페,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2029%EC%9D%BC%20%28%EC%9B%94%29%20%2A%EA%B0%9C%EB%B3%84%20DM%20%EC%95%88%EB%82%B4,https://map.kakao.com/link/search/%EC%9B%94%2029%EC%9D%BC%20%28%EC%9B%94%29%20%2A%EA%B0%9C%EB%B3%84%20DM%20%EC%95%88%EB%82%B4
"월 28일, 고려대학교 화정체육관에서 열립니다",,전시·문화,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2028%EC%9D%BC%2C%20%EA%B3%A0%EB%A0%A4%EB%8C%80%ED%95%99%EA%B5%90%20%ED%99%94%EC%A0%95%EC%B2%B4%EC%9C%A1%EA%B4%80%EC%97%90%EC%84%9C%20%EC%97%B4%EB%A6%BD%EB%8B%88%EB%8B%A4,https://map.kakao.com/link/search/%EC%9B%94%2028%EC%9D%BC%2C%20%EA%B3%A0%EB%A0%A4%EB%8C%80%ED%95%99%EA%B5%90%20%ED%99%94%EC%A0%95%EC%B2%B4%EC%9C%A1%EA%B4%80%EC%97%90%EC%84%9C%20%EC%97%B4%EB%A6%BD%EB%8B%88%EB%8B%A4
월 28일(토)~,,"맛집, 여행·숙소",1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2028%EC%9D%BC%28%ED%86%A0%29~,https://map.kakao.com/link/search/%EC%9B%94%2028%EC%9D%BC%28%ED%86%A0%29~
월 28일 (화),,맛집,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2028%EC%9D%BC%20%28%ED%99%94%29,https://map.kakao.com/link/search/%EC%9B%94%2028%EC%9D%BC%20%28%ED%99%94%29
월 27일부터 도쿄에서 개최되는 도라에몽 역사상 최대 규모,전시,전시·문화,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2027%EC%9D%BC%EB%B6%80%ED%84%B0%20%EB%8F%84%EC%BF%84%EC%97%90%EC%84%9C%20%EA%B0%9C%EC%B5%9C%EB%90%98%EB%8A%94%20%EB%8F%84%EB%9D%BC%EC%97%90%EB%AA%BD%20%EC%97%AD%EC%82%AC%EC%83%81%20%EC%B5%9C%EB%8C%80%20%EA%B7%9C%EB%AA%A8%20%EC%A0%84%EC%8B%9C,https://map.kakao.com/link/search/%EC%9B%94%2027%EC%9D%BC%EB%B6%80%ED%84%B0%20%EB%8F%84%EC%BF%84%EC%97%90%EC%84%9C%20%EA%B0%9C%EC%B5%9C%EB%90%98%EB%8A%94%20%EB%8F%84%EB%9D%BC%EC%97%90%EB%AA%BD%20%EC%97%AD%EC%82%AC%EC%83%81%20%EC%B5%9C%EB%8C%80%20%EA%B7%9C%EB%AA%A8%20%EC%A0%84%EC%8B%9C
월 27일 (목) *개별 DM 안내,,맛집,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2027%EC%9D%BC%20%28%EB%AA%A9%29%20%2A%EA%B0%9C%EB%B3%84%20DM%20%EC%95%88%EB%82%B4,https://map.kakao.com/link/search/%EC%9B%94%2027%EC%9D%BC%20%28%EB%AA%A9%29%20%2A%EA%B0%9C%EB%B3%84%20DM%20%EC%95%88%EB%82%B4
월 26일까지 예약기간이니 서두르세요!,,"맛집, 카페",1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2026%EC%9D%BC%EA%B9%8C%EC%A7%80%20%EC%98%88%EC%95%BD%EA%B8%B0%EA%B0%84%EC%9D%B4%EB%8B%88%20%EC%84%9C%EB%91%90%EB%A5%B4%EC%84%B8%EC%9A%94%21,https://map.kakao.com/link/search/%EC%9B%94%2026%EC%9D%BC%EA%B9%8C%EC%A7%80%20%EC%98%88%EC%95%BD%EA%B8%B0%EA%B0%84%EC%9D%B4%EB%8B%88%20%EC%84%9C%EB%91%90%EB%A5%B4%EC%84%B8%EC%9A%94%21
월 26일 오후 1시까지 주문 가능!,,카페,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2026%EC%9D%BC%20%EC%98%A4%ED%9B%84%201%EC%8B%9C%EA%B9%8C%EC%A7%80%20%EC%A3%BC%EB%AC%B8%20%EA%B0%80%EB%8A%A5%21,https://map.kakao.com/link/search/%EC%9B%94%2026%EC%9D%BC%20%EC%98%A4%ED%9B%84%201%EC%8B%9C%EA%B9%8C%EC%A7%80%20%EC%A3%BC%EB%AC%B8%20%EA%B0%80%EB%8A%A5%21
월 25일 마감이라고 하니 얼른 주문하기,,"맛집, 카페",1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2025%EC%9D%BC%20%EB%A7%88%EA%B0%90%EC%9D%B4%EB%9D%BC%EA%B3%A0%20%ED%95%98%EB%8B%88%20%EC%96%BC%EB%A5%B8%20%EC%A3%BC%EB%AC%B8%ED%95%98%EA%B8%B0,https://map.kakao.com/link/search/%EC%9B%94%2025%EC%9D%BC%20%EB%A7%88%EA%B0%90%EC%9D%B4%EB%9D%BC%EA%B3%A0%20%ED%95%98%EB%8B%88%20%EC%96%BC%EB%A5%B8%20%EC%A3%BC%EB%AC%B8%ED%95%98%EA%B8%B0
월 25일 (문)- 0520일 (일,,카페,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2025%EC%9D%BC%20%28%EB%AC%B8%29-%200520%EC%9D%BC%20%28%EC%9D%BC,https://map.kakao.com/link/search/%EC%9B%94%2025%EC%9D%BC%20%28%EB%AC%B8%29-%200520%EC%9D%BC%20%28%EC%9D%BC
월 20일(금),,"맛집, 카페",1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2020%EC%9D%BC%28%EA%B8%88%29,https://map.kakao.com/link/search/%EC%9B%94%2020%EC%9D%BC%28%EA%B8%88%29
월 20일 캘박해,,"맛집, 쇼핑, 전시·문화",1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2020%EC%9D%BC%20%EC%BA%98%EB%B0%95%ED%95%B4,https://map.kakao.com/link/search/%EC%9B%94%2020%EC%9D%BC%20%EC%BA%98%EB%B0%95%ED%95%B4
월 20일 (일),,쇼핑,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2020%EC%9D%BC%20%28%EC%9D%BC%29,https://map.kakao.com/link/search/%EC%9B%94%2020%EC%9D%BC%20%28%EC%9D%BC%29
월 20일 (월) *개별 DM 안내,,맛집,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2020%EC%9D%BC%20%28%EC%9B%94%29%20%2A%EA%B0%9C%EB%B3%84%20DM%20%EC%95%88%EB%82%B4,https://map.kakao.com/link/search/%EC%9B%94%2020%EC%9D%BC%20%28%EC%9B%94%29%20%2A%EA%B0%9C%EB%B3%84%20DM%20%EC%95%88%EB%82%B4
월 1일은 일출을 위해 오전 6시부터 오픈!,,카페,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%201%EC%9D%BC%EC%9D%80%20%EC%9D%BC%EC%B6%9C%EC%9D%84%20%EC%9C%84%ED%95%B4%20%EC%98%A4%EC%A0%84%206%EC%8B%9C%EB%B6%80%ED%84%B0%20%EC%98%A4%ED%94%88%21,https://map.kakao.com/link/search/%EC%9B%94%201%EC%9D%BC%EC%9D%80%20%EC%9D%BC%EC%B6%9C%EC%9D%84%20%EC%9C%84%ED%95%B4%20%EC%98%A4%EC%A0%84%206%EC%8B%9C%EB%B6%80%ED%84%B0%20%EC%98%A4%ED%94%88%21
월 1일은 새벽 1시부터 오후 5시까지 운영한다고!,,카페,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%201%EC%9D%BC%EC%9D%80%20%EC%83%88%EB%B2%BD%201%EC%8B%9C%EB%B6%80%ED%84%B0%20%EC%98%A4%ED%9B%84%205%EC%8B%9C%EA%B9%8C%EC%A7%80%20%EC%9A%B4%EC%98%81%ED%95%9C%EB%8B%A4%EA%B3%A0%21,https://map.kakao.com/link/search/%EC%9B%94%201%EC%9D%BC%EC%9D%80%20%EC%83%88%EB%B2%BD%201%EC%8B%9C%EB%B6%80%ED%84%B0%20%EC%98%A4%ED%9B%84%205%EC%8B%9C%EA%B9%8C%EC%A7%80%20%EC%9A%B4%EC%98%81%ED%95%9C%EB%8B%A4%EA%B3%A0%21
월 1일에 문 여는,,카페,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%201%EC%9D%BC%EC%97%90%20%EB%AC%B8%20%EC%97%AC%EB%8A%94,https://map.kakao.com/link/search/%EC%9B%94%201%EC%9D%BC%EC%97%90%20%EB%AC%B8%20%EC%97%AC%EB%8A%94
